Year,CountryOrigin,CountryOriginISO,CountryAsylum,CountryAsylumISO,Female0-4,Female5-11,Female12-17,Female18-59,Female60,FemaleOther,FemaleTotal,Male0-4,Male0-4,Male5-11,Male12-17,Male18-59,Male60,MaleOther,Total
2022,Cuba,CUB,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,5,0,0,5,22
2022,Palestinian,PSE,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2022,Georgia,GEO,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14
2022,Haiti,HTI,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Cote d'Ivoire,CIV,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2022,India,IND,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Iran (Islamic Rep. of),IRN,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
2022,Iraq,IRQ,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307
2022,Lebanon,LBN,Armenia,ARM,0,0,0,10,0,0,10,0,0,0,11,5,0,16,26
2022,Myanmar,MMR,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Nigeria,NGA,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,6,0,5,11,11
2022,Pakistan,PAK,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2022,Russian Federation,RUS,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2022,Syrian Arab Rep.,SYR,Armenia,ARM,25,40,32,188,49,10,344,23,41,48,244,55,9,420,4912
2022,Türkiye,TUR,Armenia,ARM,0,0,0,5,0,0,5,0,0,0,12,0,0,12,35
2022,Unknown ,UNK,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Ukraine,UKR,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
2022,Yemen,YEM,Armenia,ARM,0,0,0,5,0,0,5,0,0,0,16,0,0,16,27
2022,Zimbabwe,ZWE,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Afghanistan,AFG,Australia,AUS,0,0,0,5,0,0,5,0,0,0,23,0,0,23,11290
2022,Albania,ALB,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
2022,Algeria,DZA,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2022,Angola,AGO,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Egypt,EGY,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338
2022,Argentina,ARG,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2022,Azerbaijan,AZE,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2022,Bahrain,BHR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2022,Burundi,BDI,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2022,Belgium,BEL,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2022,Bangladesh,BGD,Australia,AUS,0,5,0,0,0,0,5,0,0,0,31,0,0,31,1795
2022,Bhutan,BTN,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2022,Belarus,BLR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
